1,あいかわらず,相変わらず,adv.,as usual,読L22-II
2,あいさつ,,n.,greetings,読L23-II
3,あいす,愛す,u-v.,to love,読L14-II
4,アイスクリーム,,n.,ice cream,会L3
5,あいだ,間,n.,between,会L4
6,あいて,相手,n.,partner; the other person,会L22
7,アイロンをかける,,ru-v.,to iron (clothes) ,会L16
8,あう,会う,u-v.,to meet; to see (a person),会L4
9,アウトドア,,n.,outdoor activities,読L11-II
10,あおい,青い,い-adj.,blue,"会L9, 会L9(e)"
11,あおしんごう,青信号,n.,green light,会L9(e)
12,あかい,赤い,い-adj.,red,"会L9, 会L9(e)"
13,あかちゃん,赤ちゃん,n.,baby,会L17
14,あかるい,明るい,い-adj.,bright,会L18
15,あかるい,明るい,い-adj.,cheerful,読L11-II
16,あき,秋,n.,fall,会L10
17,あきらめる,,ru-v.,to give up ,会L14
18,あく,開く,u-v.,(something) opens,会L18
19,あける,開ける,ru-v.,to open (something) ,会L6
20,あげる,,ru-v.,to give (to others) ,会L14
21,あさ,朝,n.,morning,会L3
22,あさごはん,朝ご飯,n.,breakfast,会L3
23,あさって,,n.,the day after tomorrow,"会L4(e), 会L8"
24,あさねぼうする,朝寝坊する,irr-v.,to oversleep ,会L16
25,あし,足,n.,leg; foot,"会L7(e), 会L12"
26,アジアけんきゅう,アジア研究,n.,Asian studies,会L1
27,あした,明日,n.,tomorrow,"会L3, 会L4(e)"
28,あずけいれ,預け入れ,n.,deposit,会L13(e)
29,あそこ,,n.,over there,会L2
30,あそぶ,遊ぶ,u-v.,to play; to spend time pleasantly,会L6
31,あたたかい,暖かい,い-adj.,warm,会L10
32,あたま,頭,n.,head,会L7(e)
33,あたまがいい,頭がいい,い-adj.,bright; smart; clever,会L7
34,あたらしい,新しい,い-adj.,new,会L5
35,あちら,,n.,that way (polite),会L20
36,あつい,熱い,い-adj.,hot (thing),会L5
37,あつい,暑い,い-adj.,hot (weather),会L5
38,あつめる,集める,ru-v.,to collect ,会L16
39,あと,後,n.,the rest,会L18
40,（〜の）あと,後,exp.,after (an event),"読L8-II, 会L11"
41,あとで,後で,adv.,later on,会L6
42,アドバイス,,n.,advice,読L14-II
43,アナウンス,,n.,announcement,読L13-III
44,あなた,,n.,you,会L4
45,あに,兄,n.,(my) older brother,会L7
46,アニメ,,n.,animation,会L20
47,あね,姉,n.,(my) older sister,会L7
48,あの,,pre.,that . . . (over there),会L2
